26 9 9 61292.00 P  0.203192 0.001693  0.334095 0.001466  P-0.0012829 0.0006014                 P     0.005    0.128     0.183    0.160                                                     
26 910 61293.00 P  0.202430 0.001848  0.333408 0.001638  P-0.0023990 0.0007012                 P     0.011    0.128     0.194    0.160                                                     
26 911 61294.00 P  0.201630 0.001994  0.332738 0.001804  P-0.0036989 0.0007500                 P     0.019    0.128     0.205    0.160                                                     
26 912 61295.00 P  0.200791 0.002133  0.332091 0.001963  P-0.0050606 0.0005500                 P     0.029    0.128     0.215    0.160                                                     
26 913 61296.00 P  0.199928 0.002265  0.331451 0.002118  P-0.0063572 0.0007548                 P     0.039    0.128     0.223    0.160                                                     
26 914 61297.00 P  0.199041 0.002391  0.330812 0.002268  P-0.0074809 0.0009344                 P     0.050    0.128     0.230    0.160                                                     
26 915 61298.00 P  0.198132 0.002513  0.330162 0.002415  P-0.0083842 0.0010994                 P     0.061    0.128     0.236    0.160                                                     
26 916 61299.00 P  0.197218 0.002630  0.329510 0.002558  P-0.0090464 0.0012543                 P     0.072    0.128     0.239    0.160                                                     
26 917 61300.00 P  0.196301 0.002743  0.328860 0.002698  P-0.0094961 0.0014016                 P     0.083    0.128     0.241    0.160                                                     
26 918 61301.00 P  0.195382 0.002853  0.328210 0.002836  P-0.0098080 0.0015429                 P     0.092    0.128     0.242    0.160                                                     
26 919 61302.00 P  0.194458 0.002960  0.327567 0.002971  P-0.0100668 0.0016792                 P     0.101    0.128     0.240    0.160                                                     
26 920 61303.00 P  0.193530 0.003064  0.326933 0.003103  P-0.0103594 0.0018113                 P     0.108    0.128     0.238    0.160                                                     
26 921 61304.00 P  0.192597 0.003166  0.326312 0.003234  P-0.0107632 0.0019399                 P     0.114    0.128     0.235    0.160                                                     
26 922 61305.00 P  0.191651 0.003265  0.325703 0.003362  P-0.0113462 0.0020652                 P     0.118    0.128     0.231    0.160                                                     
26 923 61306.00 P  0.190690 0.003362  0.325102 0.003489  P-0.0121522 0.0021877                 P     0.120    0.128     0.226    0.160                                                     
26 924 61307.00 P  0.189715 0.003457  0.324514 0.003613  P-0.0132068 0.0023077                 P     0.121    0.128     0.222    0.160                                                     
26 925 61308.00 P  0.188725 0.003550  0.323936 0.003736  P-0.0145104 0.0024255                 P     0.121    0.128     0.218    0.160                                                     
26 926 61309.00 P  0.187722 0.003641  0.323369 0.003858  P-0.0160005 0.0025411                 P     0.119    0.128     0.215    0.160                                                     
26 927 61310.00 P  0.186706 0.003730  0.322812 0.003978  P-0.0175636 0.0026548                 P     0.117    0.128     0.213    0.160                                                     
26 928 61311.00 P  0.185677 0.003818  0.322266 0.004097  P-0.0190737 0.0027668                 P     0.114    0.128     0.212    0.160                                                     
26 929 61312.00 P  0.184637 0.003904  0.321733 0.004214  P-0.0204245 0.0028772                 P     0.111    0.128     0.213    0.160                                                     
26 930 61313.00 P  0.183585 0.003989  0.321210 0.004330  P-0.0215410 0.0029860                 P     0.109    0.128     0.215    0.160                                                     
2610 1 61314.00 P  0.182522 0.004073  0.320701 0.004445  P-0.0224128 0.0030934                 P     0.107    0.128     0.219    0.160                                                     
2610 2 61315.00 P  0.181447 0.004155  0.320205 0.004559  P-0.0231041 0.0031995                 P     0.106    0.128     0.224    0.160                                                     
2610 3 61316.00 P  0.180360 0.004236  0.319723 0.004671  P-0.0237256 0.0033043                 P     0.106    0.128     0.230    0.160                                                     
2610 4 61317.00 P  0.179261 0.004316  0.319254 0.004783  P-0.0244028 0.0034080                 P     0.108    0.128     0.237    0.160                                                     
2610 5 61318.00 P  0.178150 0.004395  0.318799 0.004893  P-0.0252513 0.0035105                 P     0.112    0.128     0.245    0.160                                                     
2610 6 61319.00 P  0.177027 0.004472  0.318359 0.005003  P-0.0263402 0.0036120                 P     0.117    0.128     0.253    0.160                                                     
2610 7 61320.00 P  0.175892 0.004549  0.317933 0.005112  P-0.0276753 0.0037124                 P     0.124    0.128     0.262    0.160                                                     
2610 8 61321.00 P  0.174746 0.004625  0.317522 0.005220  P-0.0292021 0.0038119                 P     0.132    0.128     0.270    0.160                                                     
2610 9 61322.00 P  0.173588 0.004700  0.317127 0.005327  P-0.0308300 0.0039105                 P     0.142    0.128     0.277    0.160                                                     
261010 61323.00 P  0.172420 0.004774  0.316747 0.005433  P-0.0324488 0.0040082                 P     0.153    0.128     0.284    0.160                                                     
261011 61324.00 P  0.171240 0.004847  0.316383 0.005538  P-0.0339555 0.0041051                 P     0.164    0.128     0.289    0.160                                                     
261012 61325.00 P  0.170051 0.004919  0.316034 0.005643  P-0.0352772 0.0042012                 P     0.176    0.128     0.293    0.160                                                     
261013 61326.00 P  0.168851 0.004991  0.315702 0.005746  P-0.0363855 0.0042965                 P     0.187    0.128     0.295    0.160                                                     
261014 61327.00 P  0.167641 0.005061  0.315386 0.005849  P-0.0372962 0.0043911                 P     0.199    0.128     0.296    0.160                                                     
261015 61328.00 P  0.166421 0.005131  0.315087 0.005952  P-0.0380529 0.0044849                 P     0.209    0.128     0.294    0.160                                                     
261016 61329.00 P  0.165192 0.005201  0.314805 0.006053  P-0.0387198 0.0045781                 P     0.219    0.128     0.292    0.160                                                     
261017 61330.00 P  0.163953 0.005269  0.314540 0.006155  P-0.0393662 0.0046706                 P     0.227    0.128     0.288    0.160                                                     
261018 61331.00 P  0.162705 0.005337  0.314292 0.006255  P-0.0400608 0.0047625                 P     0.234    0.128     0.283    0.160                                                     
261019 61332.00 P  0.161449 0.005405  0.314062 0.006355  P-0.0408704 0.0048537                 P     0.239    0.128     0.277    0.160                                                     
261020 61333.00 P  0.160185 0.005471  0.313849 0.006454  P-0.0418490 0.0049444                 P     0.243    0.128     0.270    0.160                                                     
261021 61334.00 P  0.158912 0.005537  0.313654 0.006552  P-0.0430304 0.0050344                 P     0.244    0.128     0.264    0.160                                                     
261022 61335.00 P  0.157632 0.005603  0.313477 0.006650  P-0.0444218 0.0051240                 P     0.245    0.128     0.257    0.160                                                     
261023 61336.00 P  0.156345 0.005668  0.313319 0.006748  P-0.0459965 0.0052129                 P     0.244    0.128     0.251    0.160                                                     
261024 61337.00 P  0.155050 0.005732  0.313179 0.006845  P-0.0476858 0.0053014                 P     0.242    0.128     0.246    0.160                                                     
261025 61338.00 P  0.153749 0.005796  0.313057 0.006941  P-0.0493876 0.0053893                 P     0.239    0.128     0.242    0.160                                                     
261026 61339.00 P  0.152441 0.005859  0.312954 0.007037  P-0.0509785 0.0054768                 P     0.237    0.128     0.240    0.160                                                     
261027 61340.00 P  0.151128 0.005922  0.312870 0.007132  P-0.0523553 0.0055637                 P     0.234    0.128     0.239    0.160                                                     
261028 61341.00 P  0.149808 0.005984  0.312804 0.007227  P-0.0534740 0.0056502                 P     0.231    0.128     0.239    0.160                                                     
261029 61342.00 P  0.148484 0.006046  0.312758 0.007322  P-0.0543685 0.0057362                 P     0.230    0.128     0.241    0.160                                                     
261030 61343.00 P  0.147155 0.006107  0.312731 0.007415  P-0.0551457 0.0058218                 P     0.229    0.128     0.244    0.160                                                     
261031 61344.00 P  0.145821 0.006168  0.312723 0.007509  P-0.0559429 0.0059070                 P     0.230    0.128     0.248    0.160                                                     
2611 1 61345.00 P  0.144483 0.006228  0.312735 0.007602  P-0.0568829 0.0059917                 P     0.233    0.128     0.253    0.160                                                     
2611 2 61346.00 P  0.143141 0.006288  0.312766 0.007694  P-0.0580416 0.0060760                 P     0.237    0.128     0.259    0.160                                                     
2611 3 61347.00 P  0.141796 0.006348  0.312816 0.007787  P-0.0594306 0.0061599                 P     0.242    0.128     0.264    0.160                                                     
2611 4 61348.00 P  0.140448 0.006407  0.312887 0.007878  P-0.0609988 0.0062434                 P     0.249    0.128     0.270    0.160                                                     
2611 5 61349.00 P  0.139097 0.006466  0.312977 0.007970  P-0.0626578 0.0063266                 P     0.258    0.128     0.276    0.160                                                     
2611 6 61350.00 P  0.137744 0.006524  0.313086 0.008060  P-0.0643071 0.0064093                 P     0.267    0.128     0.280    0.160                                                     
2611 7 61351.00 P  0.136389 0.006582  0.313216 0.008151  P-0.0658479 0.0064917                 P     0.278    0.128     0.283    0.160                                                     
2611 8 61352.00 P  0.135033 0.006639  0.313366 0.008241  P-0.0672022 0.0065737                 P     0.289    0.128     0.285    0.160                                                     
2611 9 61353.00 P  0.133675 0.006697  0.313536 0.008331  P-0.0683295 0.0066554                 P     0.300    0.128     0.286    0.160                                                     
261110 61354.00 P  0.132317 0.006753  0.313725 0.008420  P-0.0692278 0.0067368                 P     0.311    0.128     0.285    0.160                                                     
261111 61355.00 P  0.130959 0.006810  0.313935 0.008509  P-0.0699274 0.0068177                 P     0.322    0.128     0.282    0.160                                                     
261112 61356.00 P  0.129601 0.006866  0.314165 0.008598  P-0.0704858 0.0068984                 P     0.331    0.128     0.277    0.160                                                     
261113 61357.00 P  0.128243 0.006922  0.314415 0.008686  P-0.0709751 0.0069788                 P     0.340    0.128     0.271    0.160                                                     
261114 61358.00 P  0.126887 0.006977  0.314686 0.008774  P-0.0714705 0.0070588                 P     0.346    0.128     0.264    0.160                                                     
261115 61359.00 P  0.125531 0.007032  0.314976 0.008861  P-0.0720451 0.0071385                 P     0.352    0.128     0.256    0.160                                                     
261116 61360.00 P  0.124178 0.007087  0.315287 0.008949  P-0.0727567 0.0072179                 P     0.355    0.128     0.247    0.160                                                     
261117 61361.00 P  0.122827 0.007141  0.315618 0.009036  P-0.0736417 0.0072970                                                                                                             
261118 61362.00 P  0.121478 0.007195  0.315969 0.009122  P-0.0747150 0.0073758                                                                                                             
261119 61363.00 P  0.120133 0.007249  0.316340 0.009208  P-0.0759645 0.0074544                                                                                                             
261120 61364.00 P  0.118790 0.007303  0.316732 0.009294  P-0.0773434 0.0075326                                                                                                             
261121 61365.00 P  0.117452 0.007356  0.317143 0.009380  P-0.0787690 0.0076106                                                                                                             
261122 61366.00 P  0.116118 0.007409  0.317575 0.009465  P-0.0801312 0.0076883                                                                                                             
261123 61367.00 P  0.114789 0.007462  0.318027 0.009550  P-0.0813169 0.0077657                                                                                                             
261124 61368.00 P  0.113464 0.007514  0.318499 0.009635  P-0.0822481 0.0078428                                                                                                             
261125 61369.00 P  0.112146 0.007566  0.318991 0.009720  P-0.0829181 0.0079197                                                                                                             
261126 61370.00 P  0.110833 0.007618  0.319502 0.009804  P-0.0834024 0.0079964                                                                                                             
261127 61371.00 P  0.109526 0.007669  0.320034 0.009888  P-0.0838369 0.0080728                                                                                                             
261128 61372.00 P  0.108226 0.007721  0.320585 0.009971  P-0.0843652 0.0081489                                                                                                             
261129 61373.00 P  0.106934 0.007772  0.321157 0.010055  P-0.0850877 0.0082248                                                                                                             
261130 61374.00 P  0.105649 0.007822  0.321747 0.010138  P-0.0860298 0.0083005                                                                                                             
2612 1 61375.00 P  0.104371 0.007873  0.322358 0.010220  P-0.0871459 0.0083759                                                                                                             
2612 2 61376.00 P  0.103103 0.007923  0.322988 0.010303  P-0.0883427 0.0084511                                                                                                             
2612 3 61377.00 P  0.101843 0.007973  0.323637 0.010385  P-0.0895137 0.0085261                                                                                                             
2612 4 61378.00 P  0.100592 0.008023  0.324305 0.010467  P-0.0905668 0.0086008                                                                                                             
2612 5 61379.00 P  0.099351 0.008073  0.324993 0.010549  P-0.0914336 0.0086754                                                                                                             
2612 6 61380.00 P  0.098120 0.008122  0.325699 0.010631  P-0.0920773 0.0087497                                                                                                             
2612 7 61381.00 P  0.096899 0.008171  0.326425 0.010712  P-0.0924937 0.0088237                                                                                                             
2612 8 61382.00 P  0.095689 0.008220  0.327169 0.010793  P-0.0927085 0.0088976                                                                                                             
2612 9 61383.00 P  0.094490 0.008269  0.327932 0.010874  P-0.0927722 0.0089713                                                                                                             
261210 61384.00 P  0.093303 0.008317  0.328713 0.010954  P-0.0927535 0.0090448                                                                                                             
261211 61385.00 P  0.092128 0.008366  0.329513 0.011035  P-0.0927286 0.0091180                                                                                                             
261212 61386.00 P  0.090965 0.008414  0.330330 0.011115  P-0.0927683 0.0091911                                                                                                             
261213 61387.00 P  0.089815 0.008462  0.331166 0.011195  P-0.0929322 0.0092639                                                                                                             
261214 61388.00 P  0.088679 0.008509  0.332019 0.011275  P-0.0932562 0.0093366                                                                                                             
261215 61389.00 P  0.087557 0.008557  0.332890 0.011354  P-0.0937569 0.0094091                                                                                                             
261216 61390.00 P  0.086448 0.008604  0.333778 0.011433  P-0.0944251 0.0094814                                                                                                             
261217 61391.00 P  0.085354 0.008651  0.334684 0.011512  P-0.0952237 0.0095535                                                                                                             
261218 61392.00 P  0.084275 0.008698  0.335606 0.011591  P-0.0960894 0.0096254                                                                                                             
261219 61393.00 P  0.083210 0.008745  0.336546 0.011670  P-0.0969348 0.0096971                                                                                                             
261220 61394.00 P  0.082161 0.008791  0.337502 0.011748  P-0.0976622 0.0097686                                                                                                             
261221 61395.00 P  0.081128 0.008837  0.338475 0.011826  P-0.0983984 0.0098400                                                                                                             
261222 61396.00 P  0.080110 0.008883  0.339464 0.011905  P-0.0988960 0.0099112                                                                                                             
261223 61397.00 P  0.079110 0.008929  0.340469 0.011982  P-0.0991924 0.0099822                                                                                                             
261224 61398.00 P  0.078126 0.008975  0.341489 0.012060  P-0.0993976 0.0100531                                                                                                             
261225 61399.00 P  0.077159 0.009021  0.342526 0.012137  P-0.0996610 0.0101238                                                                                                             
261226 61400.00 P  0.076209 0.009066  0.343578 0.012215  P-0.1001145 0.0101943                                                                                                             
261227 61401.00 P  0.075278 0.009111  0.344644 0.012292  P-0.1008217 0.0102646                                                                                                             
261228 61402.00 P  0.074365 0.009157  0.345726 0.012369  P-0.1017579 0.0103348                                                                                                             
261229 61403.00 P  0.073470 0.009201  0.346822 0.012445  P-0.1028269 0.0104048                                                                                                             
261230 61404.00 P  0.072594 0.009246  0.347933 0.012522  P-0.1039022 0.0104747                                                                                                             
261231 61405.00 P  0.071737 0.009291  0.349058 0.012598  P-0.1048681 0.0105444                                                                                                             
27 1 1 61406.00 P  0.070900 0.009335  0.350196 0.012674  P-0.1056462 0.0106139                                                                                                             
27 1 2 61407.00 P  0.070082 0.009379  0.351348 0.012750  P-0.1062004 0.0106833                                                                                                             
27 1 3 61408.00 P  0.069285 0.009424  0.352513 0.012826  P-0.1065297 0.0107526                                                                                                             
27 1 4 61409.00 P  0.068507 0.009468  0.353692 0.012901  P-0.1066599 0.0108216                                                                                                             
27 1 5 61410.00 P  0.067751 0.009511  0.354883 0.012977  P-0.1066379 0.0108906                                                                                                             
27 1 6 61411.00 P  0.067015 0.009555  0.356086 0.013052  P-0.1065265 0.0109594                                                                                                             
27 1 7 61412.00 P  0.066301 0.009598  0.357301 0.013127  P-0.1063985 0.0110280                                                                                                             
27 1 8 61413.00 P  0.065608 0.009642  0.358528 0.013202  P-0.1063277 0.0110965                                                                                                             
27 1 9 61414.00 P  0.064937 0.009685  0.359767 0.013277  P-0.1063781 0.0111649                                                                                                             
27 110 61415.00 P  0.064288 0.009728  0.361017 0.013352  P-0.1065937 0.0112331                                                                                                             
27 111 61416.00 P  0.063662 0.009771  0.362277 0.013426  P-0.1069939 0.0113012                                                                                                             
27 112 61417.00 P  0.063058 0.009814  0.363548 0.013500  P-0.1075701 0.0113691                                                                                                             
27 113 61418.00 P  0.062477 0.009856  0.364830 0.013574  P-0.1082877 0.0114369                                                                                                             
27 114 61419.00 P  0.061918 0.009899  0.366121 0.013648  P-0.1090881 0.0115046                                                                                                             
27 115 61420.00 P  0.061384 0.009941  0.367422 0.013722  P-0.1098950 0.0115721                                                                                                             
27 116 61421.00 P  0.060872 0.009983  0.368732 0.013796  P-0.1106218 0.0116395                                                                                                             
27 117 61422.00 P  0.060385 0.010026  0.370050 0.013869  P-0.1111895 0.0117067                                                                                                             
27 118 61423.00 P  0.059921 0.010067  0.371378 0.013943  P-0.1115514 0.0117739                                                                                                             
27 119 61424.00 P  0.059482 0.010109  0.372713 0.014016  P-0.1117175 0.0118409                                                                                                             
27 120 61425.00 P  0.059067 0.010151  0.374056 0.014089  P-0.1117672 0.0119077                                                                                                             
27 121 61426.00 P  0.058676 0.010193  0.375407 0.014162  P-0.1118343 0.0119745                                                                                                             
27 122 61427.00 P  0.058311 0.010234  0.376765 0.014235  P-0.1120651 0.0120411                                                                                                             
27 123 61428.00 P  0.057970 0.010275  0.378129 0.014307  P-0.1125637 0.0121076                                                                                                             
27 124 61429.00 P  0.057654 0.010316  0.379500 0.014380  P-0.1133504 0.0121740                                                                                                             
27 125 61430.00 P  0.057364 0.010358  0.380877 0.014452  P-0.1143539 0.0122402                                                                                                             
27 126 61431.00 P  0.057099 0.010398  0.382260 0.014524  P-0.1154413 0.0123063                                                                                                             
27 127 61432.00 P  0.056860 0.010439  0.383647 0.014596  P-0.1164682 0.0123723                                                                                                             
27 128 61433.00 P  0.056647 0.010480  0.385040 0.014668  P-0.1173221 0.0124382                                                                                                             
27 129 61434.00 P  0.056459 0.010521  0.386437 0.014740  P-0.1179437 0.0125040                                                                                                             
27 130 61435.00 P  0.056298 0.010561  0.387838 0.014812  P-0.1183247 0.0125696                                                                                                             
27 131 61436.00 P  0.056162 0.010601  0.389243 0.014883  P-0.1184924 0.0126352                                                                                                             
27 2 1 61437.00 P  0.056053 0.010642  0.390652 0.014954  P-0.1184968 0.0127006                                                                                                             
27 2 2 61438.00 P  0.055971 0.010682  0.392063 0.015026  P-0.1184016 0.0127659                                                                                                             
27 2 3 61439.00 P  0.055915 0.010722  0.393477 0.015097  P-0.1182795 0.0128311                                                                                                             
27 2 4 61440.00 P  0.055885 0.010762  0.394893 0.015168  P-0.1182058 0.0128962                                                                                                             
27 2 5 61441.00 P  0.055882 0.010801  0.396311 0.015239  P-0.1182492 0.0129612                                                                                                             
27 2 6 61442.00 P  0.055906 0.010841  0.397730 0.015309  P-0.1184623 0.0130260                                                                                                             
27 2 7 61443.00 P  0.055957 0.010881  0.399150 0.015380  P-0.1188722 0.0130908                                                                                                             
27 2 8 61444.00 P  0.056035 0.010920  0.400571 0.015450  P-0.1194764 0.0131554                                                                                                             
27 2 9 61445.00 P  0.056139 0.010959  0.401992 0.015521  P-0.1202417 0.0132199                                                                                                             
27 210 61446.00 P  0.056271 0.010999  0.403413 0.015591  P-0.1211075 0.0132844                                                                                                             
27 211 61447.00 P  0.056430 0.011038  0.404833 0.015661  P-0.1219952 0.0133487                                                                                                             
27 212 61448.00 P  0.056616 0.011077  0.406253 0.015731  P-0.1228185 0.0134129                                                                                                             
27 213 61449.00 P  0.056829 0.011116  0.407671 0.015801  P-0.1235005 0.0134770                                                                                                             
27 214 61450.00 P  0.057069 0.011155  0.409087 0.015871  P-0.1239928 0.0135410                                                                                                             
27 215 61451.00 P  0.057336 0.011193  0.410500 0.015940  P-0.1242936 0.0136050                                                                                                             
