26 925 61308.00 P  0.180460 0.000614  0.326969 0.000413  P-0.0148079 0.0001080                 P     0.128    0.128     0.197    0.160                                                     
26 926 61309.00 P  0.179488 0.000912  0.326799 0.000680  P-0.0163077 0.0002041                 P     0.124    0.128     0.198    0.160                                                     
26 927 61310.00 P  0.178436 0.001149  0.326610 0.000911  P-0.0178616 0.0003028                 P     0.121    0.128     0.199    0.160                                                     
26 928 61311.00 P  0.177399 0.001353  0.326401 0.001120  P-0.0193296 0.0004021                 P     0.117    0.128     0.201    0.160                                                     
26 929 61312.00 P  0.176351 0.001537  0.326190 0.001316  P-0.0205929 0.0005017                 P     0.114    0.128     0.203    0.160                                                     
26 930 61313.00 P  0.175258 0.001705  0.325939 0.001500  P-0.0215828 0.0006014                 P     0.111    0.128     0.207    0.160                                                     
2610 1 61314.00 P  0.174173 0.001862  0.325675 0.001676  P-0.0222951 0.0007012                 P     0.109    0.128     0.212    0.160                                                     
2610 2 61315.00 P  0.173111 0.002009  0.325423 0.001846  P-0.0228101 0.0007500                 P     0.108    0.128     0.218    0.160                                                     
2610 3 61316.00 P  0.172065 0.002148  0.325167 0.002009  P-0.0232661 0.0005500                 P     0.108    0.128     0.225    0.160                                                     
2610 4 61317.00 P  0.171013 0.002281  0.324922 0.002167  P-0.0238315 0.0007548                 P     0.109    0.128     0.233    0.160                                                     
2610 5 61318.00 P  0.169951 0.002409  0.324689 0.002321  P-0.0246392 0.0009344                 P     0.113    0.128     0.242    0.160                                                     
2610 6 61319.00 P  0.168898 0.002531  0.324475 0.002471  P-0.0257520 0.0010994                 P     0.118    0.128     0.251    0.160                                                     
2610 7 61320.00 P  0.167846 0.002649  0.324276 0.002618  P-0.0271641 0.0012543                 P     0.124    0.128     0.260    0.160                                                     
2610 8 61321.00 P  0.166789 0.002764  0.324085 0.002761  P-0.0288307 0.0014016                 P     0.133    0.128     0.268    0.160                                                     
2610 9 61322.00 P  0.165724 0.002875  0.323905 0.002902  P-0.0306324 0.0015429                 P     0.142    0.128     0.276    0.160                                                     
261010 61323.00 P  0.164657 0.002982  0.323732 0.003040  P-0.0324192 0.0016792                 P     0.153    0.128     0.283    0.160                                                     
261011 61324.00 P  0.163588 0.003087  0.323569 0.003176  P-0.0340860 0.0018113                 P     0.164    0.128     0.288    0.160                                                     
261012 61325.00 P  0.162509 0.003189  0.323414 0.003309  P-0.0355419 0.0019399                 P     0.176    0.128     0.292    0.160                                                     
261013 61326.00 P  0.161425 0.003289  0.323268 0.003440  P-0.0367443 0.0020652                 P     0.188    0.128     0.294    0.160                                                     
261014 61327.00 P  0.160338 0.003387  0.323137 0.003570  P-0.0377194 0.0021877                 P     0.199    0.128     0.295    0.160                                                     
261015 61328.00 P  0.159248 0.003482  0.323017 0.003697  P-0.0385166 0.0023077                 P     0.210    0.128     0.294    0.160                                                     
261016 61329.00 P  0.158152 0.003576  0.322910 0.003823  P-0.0391945 0.0024255                 P     0.219    0.128     0.291    0.160                                                     
261017 61330.00 P  0.157051 0.003668  0.322816 0.003948  P-0.0398381 0.0025411                 P     0.227    0.128     0.287    0.160                                                     
261018 61331.00 P  0.155946 0.003758  0.322737 0.004071  P-0.0405303 0.0026548                 P     0.234    0.128     0.282    0.160                                                     
261019 61332.00 P  0.154837 0.003846  0.322671 0.004192  P-0.0413406 0.0027668                 P     0.239    0.128     0.276    0.160                                                     
261020 61333.00 P  0.153724 0.003933  0.322619 0.004312  P-0.0423360 0.0028772                 P     0.243    0.128     0.270    0.160                                                     
261021 61334.00 P  0.152606 0.004019  0.322582 0.004431  P-0.0435570 0.0029860                 P     0.244    0.128     0.263    0.160                                                     
261022 61335.00 P  0.151484 0.004103  0.322558 0.004548  P-0.0450153 0.0030934                 P     0.245    0.128     0.257    0.160                                                     
261023 61336.00 P  0.150358 0.004186  0.322548 0.004665  P-0.0466829 0.0031995                 P     0.244    0.128     0.251    0.160                                                     
261024 61337.00 P  0.149228 0.004267  0.322554 0.004780  P-0.0484841 0.0033043                 P     0.242    0.128     0.246    0.160                                                     
261025 61338.00 P  0.148094 0.004348  0.322574 0.004894  P-0.0503069 0.0034080                 P     0.239    0.128     0.242    0.160                                                     
261026 61339.00 P  0.146957 0.004427  0.322609 0.005007  P-0.0520293 0.0035105                 P     0.237    0.128     0.240    0.160                                                     
261027 61340.00 P  0.145816 0.004506  0.322660 0.005120  P-0.0535469 0.0036120                 P     0.234    0.128     0.239    0.160                                                     
261028 61341.00 P  0.144672 0.004583  0.322726 0.005231  P-0.0548037 0.0037124                 P     0.231    0.128     0.239    0.160                                                     
261029 61342.00 P  0.143525 0.004659  0.322808 0.005341  P-0.0558222 0.0038119                 P     0.230    0.128     0.241    0.160                                                     
261030 61343.00 P  0.142376 0.004735  0.322906 0.005451  P-0.0567092 0.0039105                 P     0.229    0.128     0.244    0.160                                                     
261031 61344.00 P  0.141225 0.004809  0.323019 0.005559  P-0.0576068 0.0040082                 P     0.230    0.128     0.248    0.160                                                     
2611 1 61345.00 P  0.140071 0.004883  0.323149 0.005667  P-0.0586410 0.0041051                 P     0.233    0.128     0.253    0.160                                                     
2611 2 61346.00 P  0.138916 0.004956  0.323295 0.005774  P-0.0598891 0.0042012                 P     0.237    0.128     0.259    0.160                                                     
2611 3 61347.00 P  0.137759 0.005028  0.323457 0.005880  P-0.0613639 0.0042965                 P     0.242    0.128     0.264    0.160                                                     
2611 4 61348.00 P  0.136601 0.005099  0.323636 0.005986  P-0.0630138 0.0043911                 P     0.249    0.128     0.270    0.160                                                     
2611 5 61349.00 P  0.135442 0.005169  0.323831 0.006090  P-0.0647508 0.0044849                 P     0.258    0.128     0.275    0.160                                                     
2611 6 61350.00 P  0.134283 0.005239  0.324043 0.006194  P-0.0664746 0.0045781                 P     0.267    0.128     0.280    0.160                                                     
2611 7 61351.00 P  0.133123 0.005308  0.324271 0.006298  P-0.0680900 0.0046706                 P     0.278    0.128     0.283    0.160                                                     
2611 8 61352.00 P  0.131963 0.005377  0.324516 0.006400  P-0.0695241 0.0047625                 P     0.289    0.128     0.285    0.160                                                     
2611 9 61353.00 P  0.130803 0.005445  0.324778 0.006503  P-0.0707420 0.0048537                 P     0.300    0.128     0.286    0.160                                                     
261110 61354.00 P  0.129645 0.005512  0.325057 0.006604  P-0.0717482 0.0049444                 P     0.311    0.128     0.285    0.160                                                     
261111 61355.00 P  0.128487 0.005578  0.325352 0.006705  P-0.0725773 0.0050344                 P     0.322    0.128     0.282    0.160                                                     
261112 61356.00 P  0.127330 0.005644  0.325665 0.006805  P-0.0732859 0.0051240                 P     0.331    0.128     0.277    0.160                                                     
261113 61357.00 P  0.126175 0.005710  0.325994 0.006905  P-0.0739440 0.0052129                 P     0.340    0.128     0.271    0.160                                                     
261114 61358.00 P  0.125022 0.005774  0.326340 0.007004  P-0.0746282 0.0053014                 P     0.346    0.128     0.264    0.160                                                     
261115 61359.00 P  0.123872 0.005839  0.326704 0.007103  P-0.0754099 0.0053893                 P     0.352    0.128     0.256    0.160                                                     
261116 61360.00 P  0.122724 0.005902  0.327084 0.007201  P-0.0763461 0.0054768                 P     0.355    0.128     0.247    0.160                                                     
261117 61361.00 P  0.121579 0.005966  0.327481 0.007298  P-0.0774735 0.0055637                 P     0.357    0.128     0.238    0.160                                                     
261118 61362.00 P  0.120438 0.006028  0.327895 0.007395  P-0.0788005 0.0056502                 P     0.357    0.128     0.229    0.160                                                     
261119 61363.00 P  0.119300 0.006091  0.328326 0.007492  P-0.0803097 0.0057362                 P     0.356    0.128     0.220    0.160                                                     
261120 61364.00 P  0.118166 0.006152  0.328774 0.007588  P-0.0819511 0.0058218                 P     0.354    0.128     0.212    0.160                                                     
261121 61365.00 P  0.117037 0.006214  0.329239 0.007684  P-0.0836393 0.0059070                 P     0.351    0.128     0.204    0.160                                                     
261122 61366.00 P  0.115912 0.006274  0.329721 0.007779  P-0.0852614 0.0059917                 P     0.347    0.128     0.198    0.160                                                     
261123 61367.00 P  0.114793 0.006335  0.330220 0.007874  P-0.0867052 0.0060760                 P     0.343    0.128     0.194    0.160                                                     
261124 61368.00 P  0.113679 0.006395  0.330735 0.007968  P-0.0878938 0.0061599                 P     0.340    0.128     0.191    0.160                                                     
261125 61369.00 P  0.112571 0.006454  0.331267 0.008062  P-0.0888249 0.0062434                 P     0.337    0.128     0.189    0.160                                                     
261126 61370.00 P  0.111469 0.006514  0.331816 0.008155  P-0.0895775 0.0063266                 P     0.334    0.128     0.189    0.160                                                     
261127 61371.00 P  0.110374 0.006572  0.332382 0.008248  P-0.0902870 0.0064093                 P     0.333    0.128     0.190    0.160                                                     
261128 61372.00 P  0.109285 0.006631  0.332964 0.008341  P-0.0910992 0.0064917                 P     0.334    0.128     0.192    0.160                                                     
261129 61373.00 P  0.108204 0.006689  0.333562 0.008433  P-0.0921172 0.0065737                 P     0.336    0.128     0.195    0.160                                                     
261130 61374.00 P  0.107131 0.006746  0.334177 0.008525  P-0.0933702 0.0066554                 P     0.339    0.128     0.198    0.160                                                     
2612 1 61375.00 P  0.106065 0.006803  0.334808 0.008616  P-0.0948143 0.0067368                 P     0.344    0.128     0.202    0.160                                                     
2612 2 61376.00 P  0.105008 0.006860  0.335456 0.008707  P-0.0963536 0.0068177                 P     0.351    0.128     0.205    0.160                                                     
2612 3 61377.00 P  0.103959 0.006917  0.336120 0.008798  P-0.0978799 0.0068984                 P     0.359    0.128     0.207    0.160                                                     
2612 4 61378.00 P  0.102919 0.006973  0.336799 0.008888  P-0.0992994 0.0069788                 P     0.367    0.128     0.209    0.160                                                     
2612 5 61379.00 P  0.101889 0.007029  0.337495 0.008978  P-0.1005432 0.0070588                 P     0.377    0.128     0.209    0.160                                                     
2612 6 61380.00 P  0.100869 0.007084  0.338206 0.009068  P-0.1015732 0.0071385                 P     0.387    0.128     0.208    0.160                                                     
2612 7 61381.00 P  0.099858 0.007139  0.338933 0.009157  P-0.1023852 0.0072179                 P     0.397    0.128     0.206    0.160                                                     
2612 8 61382.00 P  0.098858 0.007194  0.339676 0.009246  P-0.1030035 0.0072970                                                                                                             
2612 9 61383.00 P  0.097869 0.007249  0.340434 0.009334  P-0.1034720 0.0073758                                                                                                             
261210 61384.00 P  0.096891 0.007303  0.341207 0.009423  P-0.1038542 0.0074544                                                                                                             
261211 61385.00 P  0.095924 0.007357  0.341996 0.009511  P-0.1042238 0.0075326                                                                                                             
261212 61386.00 P  0.094969 0.007410  0.342799 0.009598  P-0.1046517 0.0076106                                                                                                             
261213 61387.00 P  0.094026 0.007464  0.343617 0.009686  P-0.1051960 0.0076883                                                                                                             
261214 61388.00 P  0.093095 0.007517  0.344450 0.009773  P-0.1058982 0.0077657                                                                                                             
261215 61389.00 P  0.092177 0.007569  0.345298 0.009859  P-0.1067727 0.0078428                                                                                                             
261216 61390.00 P  0.091273 0.007622  0.346160 0.009946  P-0.1078122 0.0079197                                                                                                             
261217 61391.00 P  0.090382 0.007674  0.347036 0.010032  P-0.1089821 0.0079964                                                                                                             
261218 61392.00 P  0.089504 0.007726  0.347926 0.010118  P-0.1102185 0.0080728                                                                                                             
261219 61393.00 P  0.088641 0.007778  0.348829 0.010203  P-0.1114321 0.0081489                                                                                                             
261220 61394.00 P  0.087792 0.007829  0.349747 0.010289  P-0.1125229 0.0082248                                                                                                             
261221 61395.00 P  0.086957 0.007880  0.350678 0.010374  P-0.1134054 0.0083005                                                                                                             
261222 61396.00 P  0.086138 0.007931  0.351622 0.010458  P-0.1140421 0.0083759                                                                                                             
261223 61397.00 P  0.085334 0.007982  0.352579 0.010543  P-0.1144710 0.0084511                                                                                                             
261224 61398.00 P  0.084545 0.008032  0.353548 0.010627  P-0.1148030 0.0085261                                                                                                             
261225 61399.00 P  0.083773 0.008083  0.354531 0.010711  P-0.1151868 0.0086008                                                                                                             
261226 61400.00 P  0.083016 0.008133  0.355526 0.010795  P-0.1157546 0.0086754                                                                                                             
261227 61401.00 P  0.082277 0.008182  0.356532 0.010878  P-0.1165704 0.0087497                                                                                                             
261228 61402.00 P  0.081554 0.008232  0.357551 0.010961  P-0.1176108 0.0088237                                                                                                             
261229 61403.00 P  0.080848 0.008281  0.358582 0.011044  P-0.1187805 0.0088976                                                                                                             
261230 61404.00 P  0.080159 0.008330  0.359624 0.011127  P-0.1199513 0.0089713                                                                                                             
261231 61405.00 P  0.079488 0.008379  0.360677 0.011209  P-0.1210063 0.0090448                                                                                                             
27 1 1 61406.00 P  0.078835 0.008428  0.361741 0.011292  P-0.1218659 0.0091180                                                                                                             
27 1 2 61407.00 P  0.078200 0.008476  0.362815 0.011374  P-0.1224943 0.0091911                                                                                                             
27 1 3 61408.00 P  0.077583 0.008524  0.363901 0.011455  P-0.1228905 0.0092639                                                                                                             
27 1 4 61409.00 P  0.076984 0.008572  0.364995 0.011537  P-0.1230826 0.0093366                                                                                                             
27 1 5 61410.00 P  0.076404 0.008620  0.366099 0.011618  P-0.1231168 0.0094091                                                                                                             
27 1 6 61411.00 P  0.075843 0.008668  0.367213 0.011699  P-0.1230551 0.0094814                                                                                                             
27 1 7 61412.00 P  0.075301 0.008715  0.368336 0.011780  P-0.1229697 0.0095535                                                                                                             
27 1 8 61413.00 P  0.074779 0.008762  0.369469 0.011861  P-0.1229354 0.0096254                                                                                                             
27 1 9 61414.00 P  0.074277 0.008809  0.370610 0.011941  P-0.1230174 0.0096971                                                                                                             
27 110 61415.00 P  0.073795 0.008856  0.371759 0.012022  P-0.1232614 0.0097686                                                                                                             
27 111 61416.00 P  0.073333 0.008903  0.372917 0.012102  P-0.1238701 0.0098400                                                                                                             
27 112 61417.00 P  0.072892 0.008949  0.374083 0.012182  P-0.1246563 0.0099112                                                                                                             
27 113 61418.00 P  0.072472 0.008995  0.375257 0.012261  P-0.1255848 0.0099822                                                                                                             
27 114 61419.00 P  0.072072 0.009042  0.376437 0.012341  P-0.1265966 0.0100531                                                                                                             
27 115 61420.00 P  0.071694 0.009088  0.377625 0.012420  P-0.1276150 0.0101238                                                                                                             
27 116 61421.00 P  0.071337 0.009133  0.378820 0.012499  P-0.1285537 0.0101943                                                                                                             
27 117 61422.00 P  0.071002 0.009179  0.380021 0.012578  P-0.1293335 0.0102646                                                                                                             
27 118 61423.00 P  0.070688 0.009224  0.381228 0.012656  P-0.1299065 0.0103348                                                                                                             
27 119 61424.00 P  0.070397 0.009270  0.382441 0.012735  P-0.1302824 0.0104048                                                                                                             
27 120 61425.00 P  0.070127 0.009315  0.383660 0.012813  P-0.1305400 0.0104747                                                                                                             
27 121 61426.00 P  0.069880 0.009360  0.384883 0.012891  P-0.1308123 0.0105444                                                                                                             
27 122 61427.00 P  0.069655 0.009404  0.386112 0.012969  P-0.1312456 0.0106139                                                                                                             
27 123 61428.00 P  0.069453 0.009449  0.387345 0.013047  P-0.1319434 0.0106833                                                                                                             
27 124 61429.00 P  0.069273 0.009493  0.388582 0.013124  P-0.1329264 0.0107526                                                                                                             
27 125 61430.00 P  0.069116 0.009538  0.389823 0.013202  P-0.1341237 0.0108216                                                                                                             
27 126 61431.00 P  0.068983 0.009582  0.391068 0.013279  P-0.1354034 0.0108906                                                                                                             
27 127 61432.00 P  0.068872 0.009626  0.392315 0.013356  P-0.1366202 0.0109594                                                                                                             
27 128 61433.00 P  0.068784 0.009669  0.393566 0.013433  P-0.1376617 0.0110280                                                                                                             
27 129 61434.00 P  0.068720 0.009713  0.394819 0.013509  P-0.1384689 0.0110965                                                                                                             
27 130 61435.00 P  0.068680 0.009757  0.396074 0.013586  P-0.1390342 0.0111649                                                                                                             
27 131 61436.00 P  0.068662 0.009800  0.397331 0.013662  P-0.1393857 0.0112331                                                                                                             
27 2 1 61437.00 P  0.068669 0.009843  0.398590 0.013739  P-0.1395734 0.0113012                                                                                                             
27 2 2 61438.00 P  0.068699 0.009886  0.399849 0.013815  P-0.1396602 0.0113691                                                                                                             
27 2 3 61439.00 P  0.068753 0.009929  0.401110 0.013890  P-0.1397181 0.0114369                                                                                                             
27 2 4 61440.00 P  0.068831 0.009972  0.402371 0.013966  P-0.1398219 0.0115046                                                                                                             
27 2 5 61441.00 P  0.068933 0.010015  0.403632 0.014042  P-0.1400404 0.0115721                                                                                                             
27 2 6 61442.00 P  0.069059 0.010057  0.404892 0.014117  P-0.1404258 0.0116395                                                                                                             
27 2 7 61443.00 P  0.069209 0.010100  0.406152 0.014192  P-0.1410054 0.0117067                                                                                                             
27 2 8 61444.00 P  0.069383 0.010142  0.407411 0.014267  P-0.1417767 0.0117739                                                                                                             
27 2 9 61445.00 P  0.069581 0.010184  0.408669 0.014342  P-0.1427060 0.0118409                                                                                                             
27 210 61446.00 P  0.069804 0.010226  0.409925 0.014417  P-0.1437332 0.0119077                                                                                                             
27 211 61447.00 P  0.070050 0.010268  0.411179 0.014491  P-0.1447790 0.0119745                                                                                                             
27 212 61448.00 P  0.070321 0.010310  0.412430 0.014566  P-0.1457578 0.0120411                                                                                                             
27 213 61449.00 P  0.070616 0.010351  0.413679 0.014640  P-0.1465932 0.0121076                                                                                                             
27 214 61450.00 P  0.070935 0.010393  0.414924 0.014714  P-0.1472372 0.0121740                                                                                                             
27 215 61451.00 P  0.071279 0.010434  0.416166 0.014788  P-0.1476879 0.0122402                                                                                                             
27 216 61452.00 P  0.071646 0.010475  0.417404 0.014862  P-0.1480021 0.0123063                                                                                                             
27 217 61453.00 P  0.072038 0.010517  0.418638 0.014936  P-0.1482897 0.0123723                                                                                                             
27 218 61454.00 P  0.072454 0.010558  0.419867 0.015010  P-0.1486899 0.0124382                                                                                                             
27 219 61455.00 P  0.072894 0.010598  0.421092 0.015083  P-0.1493273 0.0125040                                                                                                             
27 220 61456.00 P  0.073359 0.010639  0.422310 0.015156  P-0.1502670 0.0125696                                                                                                             
27 221 61457.00 P  0.073847 0.010680  0.423524 0.015230  P-0.1514860 0.0126352                                                                                                             
27 222 61458.00 P  0.074359 0.010720  0.424731 0.015303  P-0.1528799 0.0127006                                                                                                             
27 223 61459.00 P  0.074896 0.010761  0.425932 0.015375  P-0.1542996 0.0127659                                                                                                             
27 224 61460.00 P  0.075456 0.010801  0.427126 0.015448  P-0.1556013 0.0128311                                                                                                             
27 225 61461.00 P  0.076040 0.010841  0.428313 0.015521  P-0.1566866 0.0128962                                                                                                             
27 226 61462.00 P  0.076647 0.010881  0.429492 0.015593  P-0.1575181 0.0129612                                                                                                             
27 227 61463.00 P  0.077278 0.010921  0.430664 0.015666  P-0.1581100 0.0130260                                                                                                             
27 228 61464.00 P  0.077933 0.010961  0.431827 0.015738  P-0.1585105 0.0130908                                                                                                             
27 3 1 61465.00 P  0.078611 0.011001  0.432982 0.015810  P-0.1587855 0.0131554                                                                                                             
27 3 2 61466.00 P  0.079312 0.011040  0.434128 0.015882  P-0.1590089 0.0132199                                                                                                             
27 3 3 61467.00 P  0.080037 0.011080  0.435264 0.015954  P-0.1592571 0.0132844                                                                                                             
27 3 4 61468.00 P  0.080785 0.011119  0.436391 0.016026  P-0.1596019 0.0133487                                                                                                             
27 3 5 61469.00 P  0.081555 0.011159  0.437508 0.016097  P-0.1601030 0.0134129                                                                                                             
27 3 6 61470.00 P  0.082348 0.011198  0.438615 0.016169  P-0.1607980 0.0134770                                                                                                             
27 3 7 61471.00 P  0.083164 0.011237  0.439711 0.016240  P-0.1616965 0.0135410                                                                                                             
27 3 8 61472.00 P  0.084002 0.011276  0.440796 0.016311  P-0.1627756 0.0136050                                                                                                             
27 3 9 61473.00 P  0.084863 0.011315  0.441870 0.016382  P-0.1639802 0.0136688                                                                                                             
27 310 61474.00 P  0.085746 0.011354  0.442932 0.016453  P-0.1652303 0.0137325                                                                                                             
27 311 61475.00 P  0.086650 0.011392  0.443982 0.016524  P-0.1664324 0.0137961                                                                                                             
27 312 61476.00 P  0.087577 0.011431  0.445020 0.016595  P-0.1675003 0.0138596                                                                                                             
27 313 61477.00 P  0.088525 0.011470  0.446045 0.016666  P-0.1683772 0.0139230                                                                                                             
27 314 61478.00 P  0.089494 0.011508  0.447057 0.016736  P-0.1690531 0.0139863                                                                                                             
